name,image_url,about,books_written
Chris Claremont,https://images.gr-assets.com/authors/1206644417p5/15091.jpg,"Chris Claremont is a writer of American comic books, best known for his 16-year (1975-1991) stint on Uncanny X-Men, during which the series became one of the comic book industry's most successful properties.Claremont has written many stories for other publishers including the Star Trek Debt of Honor graphic novel, his creator-owned Sovereign Seven for DC Comics and Aliens vs Predator for Dark Horse Comics. He also wrote a few issues of the series WildC.A.T.s (volume 1, issues #10-13) at Image Comics, which introduced his creator-owned character, Huntsman.Outside of comics, Claremont co-wrote the Chronicles of the Shadow War trilogy, Shadow Moon (1995), Shadow Dawn (1996), and Shadow Star (1999), with George Lucas. This trilogy continues the story of Elora Danan from the movie Willow. In the 1980s, he also wrote a science fiction trilogy about female starship pilot Nicole Shea, consisting of First Flight (1987), Grounded! (1991), and Sundowner (1994). Claremont was also a contributor to the Wild Cards anthology series.","many stories for other publishers including the Star Trek Debt of Honor graphic novel, his creator-owned Sovereign Seven for DC Comics and Aliens vs Predator for Dark Horse Comics. He also wrote a few issues of the series WildC.A.T.s (volume 1, issues #10-13) at Image Comics, which introduced his creator-owned character, Huntsman.Outside of comics, Claremont co-wrote the Chronicles of the Shadow War trilogy, Shadow Moon (1995)"
Richard W. Bulliet,https://images.gr-assets.com/authors/1480853679p5/15403.jpg,"Richard W. Bulliet is a professor emeritus of history at Columbia University who specializes in the history of Islamic society and institutions, the history of technology, and the history of the role of animals in human society.Richard grew up in Illinois. He attended Harvard University, from which he received a BA in 1962 and a PhD in 1967.Several of his books focus on Iran but deal also with the larger Muslim world, including The Patricians of Nishapur: a Study in Medieval Islamic History (1972), Conversion to Islam in the Medieval Period: An Essay in Quantitative History (1979), and Islam: the View from the Edge (1994). His books on a broader view of Islamic history and society include Under Siege: Islam and Democracy (1994) and The Case for Islamo-Christian Civilization (2004). His book  (1975) brings together his interest in the histories of technology, animal domestication, and the Middle East, dealing for example with the significant military advantage early Muslim armies gained from a slight improvement in the design of cloth camel saddles. He would return to the history of animal domestication with his Hunters, Herders, and Hamburgers: The Past and Future of Human-Animal Relationships (2005).He is the writer and editor of books of more general interest as well, including The Columbia History of the Twentieth Century (editor, 1998), The Encyclopedia of the Modern Middle East (co-editor, 1996), and The Earth and Its Peoples: A Global History (co-author, 1997). He has also written several novels which draw on his knowledge of international politics and the Middle East, and is a promoter of the validity of comics as an art form.His first fiction book, Kicked to Death by a Camel (1973), was nominated for an Edgar for “Best First Mystery”. His other fiction includes Tomb of the Twelfth Imam (1979), The Gulf Scenario (1984), The Sufi Fiddle (1991), and The One-Donkey Solution (2011).Bulliet’s commentaries and opinion pieces on the Middle East have appeared in such newspapers The Guardian, New York Times International, and Süddeutsche Zeitung.","several novels which draw on his knowledge of international politics and the Middle East, and is a promoter of the validity of comics as an art form.His first fiction book, Kicked to Death by a Camel (1973)"
Jane Drake,https://images.gr-assets.com/authors/1281557390p5/15574.jpg,"Jane Drake and Ann Love are a sister writing duo. Together they have published 25 non-fiction titles for junior/intermediate students. Their first book to hit the bestseller list was The Kids Cottage Book published in 1992. Since then they have written many bestsellers and award winners including Cool Woods: A Trip Around the World's Boreal Forest (2003), The Kids Book of the Night Sky (2004), Snow Amazing: Cool Facts and Warm Tales (2004), and Trash Action: A Fresh Look at Garbage (2006), Sweet! The Delicious Story of Candy (2007), Alien Invaders: Species that Threaten Our World (2008). Ann and Jane have shared a lifelong love of the outdoors enjoying everything from snow shoeing, to camping, bird watching, tree planting and photography. They get along magnificently, except on the tennis court.Jane lives in Toronto. She and husband escape the city whenever possible and recharge with weekends of sandhill crane sightings, star gazing, gardening and rigorous outdoor exercise. Nellie the ginger cat entertains Jane as she writes and Angus, the dog, makes sure she gets her daily walk. Jane would love to visit Siberia.",many bestsellers and award winners including Cool Woods: A Trip Around the World's Boreal Forest (2003)
Ann Love,https://images.gr-assets.com/authors/1281557472p5/15575.jpg,"Jane Drake and Ann Love are a sister writing duo. Together they have published 25 non-fiction titles for junior/intermediate students. Their first book to hit the bestseller list was The Kids Cottage Book published in 1992. Since then they have written many bestsellers and award winners including Cool Woods: A Trip Around the World's Boreal Forest (2003), The Kids Book of the Night Sky (2004), Snow Amazing: Cool Facts and Warm Tales (2004), and Trash Action: A Fresh Look at Garbage (2006), Sweet! The Delicious Story of Candy (2007), Alien Invaders: Species that Threaten Our World (2008). Ann and Jane have shared a lifelong love of the outdoors enjoying everything from snow shoeing, to camping, bird watching, tree planting and photography. They get along magnificently, except on the tennis court.Ann lives near King, Ontario. She was a teacher librarian for many years but has retired to concentrate on writing. She is an accomplished artist, enjoying painting watercolors of the wild plants near her home. Ann stalks and patrols at least five bird feeders year round, often dropping the phone on her sister's ear to chase her cat away from the chickadees. Skookum, her pup, insists on several walks a day. Ann would love to visit India.",many bestsellers and award winners including Cool Woods: A Trip Around the World's Boreal Forest (2003)
Georges Perec,https://images.gr-assets.com/authors/1548343614p5/15923.jpg,"Georges Perec was a highly-regarded French novelist, filmmaker, and essayist. He was a member of the Oulipo group. Many of his novels and essays abound with experimental wordplay, lists, and attempts at classification, and they are usually tinged with melancholy.Born in a working-class district of Paris, Perec was the only son of Icek Judko and Cyrla (Schulewicz) Peretz, Polish Jews who had emigrated to France in the 1920s. He was a distant relative of the Yiddish writer Isaac Leib Peretz. Perec's first novel, Les Choses (Things: A Story of the Sixties) was awarded the Prix Renaudot in 1965.In 1978, Perec won the prix Médicis for Life: A User's Manual (French title, La Vie mode d'emploi), possibly his best-known work. The 99 chapters of this 600 page piece move like a knight's tour of a chessboard around the room plan of a Paris apartment building, describing the rooms and stairwell and telling the stories of the inhabitants.Cantatrix Sopranica L. is a spoof scientific paper detailing experiments on the ""yelling reaction"" provoked in sopranos by pelting them with rotten tomatoes. All the references in the paper are multi-lingual puns and jokes, e.g. ""(Karybb et Scyla, 1973)"".Perec is also noted for his constrained writing: his 300-page novel La disparition (1969) is a lipogram, written without ever using the letter ""e"". It has been translated into English by Gilbert Adair under the title A Void (1994). The silent disappearance of the letter might be considered a metaphor for the Jewish experience during the Second World War. Since the name 'Georges Perec' is full of 'e's, the disappearance of the letter also ensures the author's own 'disappearance'.His novella Les revenentes (1972) is a complementary univocalic piece in which the letter ""e"" is the only vowel used. This constraint affects even the title, which would conventionally be spelt Revenantes. An English translation by Ian Monk was published in 1996 as The Exeter Text: Jewels, Secrets, Sex in the collection Three.It has been remarked by Jacques Roubaud that these two novels draw words from two disjoint sets of the French language, and that a third novel would be possible, made from the words not used so far (those containing both ""e"" and a vowel other than ""e"").W ou le souvenir d'enfance, (W, or, the Memory of Childhood, 1975) is a semi-autobiographical work which is hard to classify. Two alternating narratives make up the volume: one, a fictional outline of a totalitarian island country called ""W"", patterned partly on life in a concentration camp; and the second, descriptions of childhood. Both merge towards the end when the common theme of the Holocaust is explained.Perec was a heavy smoker throughout his life, and was diagnosed with lung cancer in 1981. He died the following year in Ivry-sur-Seine at only forty-five-years old. His ashes are held at the columbarium of the Père Lachaise Cemetery.David Bellos wrote an extensive biography of Perec: Georges Perec: A Life in Words, which won the Académie Goncourt's bourse for biography in 1994.","without ever using the letter ""e"". It has been translated into English by Gilbert Adair under the title A Void (1994)"
Paul Schrader,https://images.gr-assets.com/authors/1309558763p5/15983.jpg,"Although his name is often linked to that of the 'movie brat' generation (Spielberg, Scorsese, Coppola, Lucas, De Palma, etc.) Paul Schrader's background couldn't have been more different. Schrader's strict Calvinist parents refused to allow him to see a film until he was eighteen. Although he more than made up for lost time when studying at Calvin College, Columbia University and UCLA's graduate film program, his influences were far removed from those of his contemporaries - Bresson, Ozu and Dreyer (about whom he wrote a book, Transcendental Style in Film: Ozu Bresson Dreyer Da Capo Paperback) rather than Saturday morning serials. After a period as a film critic (and protégé of Pauline Kael), he began writing screenplays, hitting the jackpot when he and his brother, Leonard Schrader (a Japanese expert), were paid the then-record sum of $325,000, for The Yakuza, thus establishing his reputation as one of Hollywood's top screenwriters - which was consolidated when Martin Scorsese filmed Schrader's script [Book:Taxi Driver] (1976), written in the early 1970s during a bout of drinking and depression. The success of the film allowed Schrader to start directing his own films, which have been notable for their willingness to take stylistic and thematic risks while still working squarely within the Hollywood system. The most original of his films (which he and many others regard as his best) was the Japanese co-production Mishima: A Life in Four Chapters (1985).Biography Source: http://www.imdb.com/name/nm0001707/bio","in the early 1970s during a bout of drinking and depression. The success of the film allowed Schrader to start directing his own films, which have been notable for their willingness to take stylistic and thematic risks while still working squarely within the Hollywood system. The most original of his films (which he and many others regard as his best) was the Japanese co-production Mishima: A Life in Four Chapters (1985)"
Alec Wilder,https://images.gr-assets.com/authors/1294001008p5/16349.jpg," [image error]Born Alexander Lafayette Chew Wilder in Rochester, New York, to a wealthy banking family. He was an avid letter-writer. His bouts of drinking often tested the limits of his lifelong friendships.He was largely self-taught as a composer studing briefly at his hometown's Eastman School of Music in the 1920s, but left without completing his degree. While there, he edited a humor magazine and scored music for short films directed by James Sibley Watson. Wilder was eventually awarded an honorary degree in 1973.He was good friends with Frank Sinatra, Peggy Lee, Tony Bennett, and Marian Mcpartland.Among the standards he wrote or co-wrote were: I'll Be Around(1943)While We're Young(1943, written with Morty Palitz and William Engvick)It's So Peaceful in the Country(1941)Moon And Sand (1941, written with Morty Palitz and William Engvick)Who Can I Turn To? (1941, lyric by William Engvick)The Lady Sings the Blues (1956, lyric by William Engvick and a hit for Mabel Mercer); Where Do You Go? (1959, lyric by Arnold Sundgaard)Remember My Child (1964, lyric by William Engvick) Lovers and Losers (1968, lyric by William Engvick) Blackberry Winter (1976, lyric by Loonis McGlohon); Be a Child (1976 lyric by Loonis McGlohon)A Long Night (1980, Wilder's last song, written for Sinatra with a lyric by Loonis McGlohon). Wrote the lyrics to Thad Jones' A Child Is BornHe also wrote many songs for the cabaret artist Mabel Mercer, including one of her signature pieces, ""Have You Ever Crossed Over to Sneden's?""In addition to writing popular songs, Wilder also composed classical pieces for exotic combinations of orchestral instruments. The Alec Wilder Octet, including Eastman classmate Mitch Miller on oboe, recorded several of his originals for Brunswick Records in 1938-40. His classical numbers, which often had off-beat, humorous titles (""The Hotel Detective Registers""), were strongly influenced by jazz. He wrote eleven operas; one of which, Miss Chicken Little (1953), was commissioned for television by CBS. Sinatra conducted an album of Wilder's classical music. Wilder also arranged a series of Christmas carols for Tubachristmas. He composed numerous works for children.Wilder wrote what is considered by many critics the definitive book on American songwriting:
  American Popular Song: The Great Innovators, 1900–1950 
 (1972). He was also featured in a radio series based on the book, broadcast in the mid '70s. With lyricist Loonis McGlohon, he composed songs for the Land of Oz theme park in Banner Elk, North Carolina. Wilder loved puzzles: he created his own cryptic crosswords, and could spend hours with a jigsaw puzzle. He also loved to talk (he had an encyclopedic knowledge of the world) and most of all, laugh. Displeased with how Peggy Lee improvised the ending of While We're Young, he wrote her a note: ""The next time you come to the bridge [of the song], jump!"" He often maintained that music publishers ""stole everything"", but in a reflective moment, noted that as badly as he had been treated by the powers-that-be of the music industry, black artists had been treated worse.He won a Peabody Award for the National Public Radio series ""American Popular Song,"" cohosted by Loonis McGlohon, an Avon Foundation grant, the Deems Taylor ASCAP Award and a National Book Award nomination—all having to do with American Popular Song: ""The Great Innovators, 1900-1950,"" edited and with an introduction by James T. Maher. Alec Wilder died of lung cancer on Christmas Eve 1980 in Gainesville, Florida.","with Morty Palitz and William Engvick)It's So Peaceful in the Country (1941); with Morty Palitz and William Engvick)Who Can I Turn To? (1941, lyric by William Engvick)The Lady Sings the Blues (1956, lyric by William Engvick and a hit for Mabel Mercer); Where Do You Go? (1959, lyric by Arnold Sundgaard)Remember My Child (1964, lyric by William Engvick) Lovers and Losers (1968, lyric by William Engvick) Blackberry Winter (1976, lyric by Loonis McGlohon); Be a Child (1976 lyric by Loonis McGlohon)A Long Night (1980, Wilder's last song, written for Sinatra with a lyric by Loonis McGlohon). Wrote the lyrics to Thad Jones' A Child Is BornHe also wrote many songs for the cabaret artist Mabel Mercer, including one of her signature pieces, ""Have You Ever Crossed Over to Sneden's?""In addition to writing popular songs, Wilder also composed classical pieces for exotic combinations of orchestral instruments. The Alec Wilder Octet, including Eastman classmate Mitch Miller on oboe, recorded several of his originals for Brunswick Records in 1938-40. His classical numbers, which often had off-beat, humorous titles (""The Hotel Detective Registers""), were strongly influenced by jazz. He wrote eleven operas; one of which, Miss Chicken Little (1953)"
Richard Price,https://images.gr-assets.com/authors/1243806498p5/16481.jpg,"Librarian Note: There is more than one author in the GoodReads database with this name. Also writes under the pen name  Harry BrandtA self-described ""middle class Jewish kid,"" Price grew up in a housing project in the northeast Bronx. Today, he lives in New York City with his family.Price graduated from the Bronx High School of Science in 1967 and obtained a BA from Cornell University and an MFA from Columbia. He also did graduate work at Stanford. He has taught writing at Columbia, Yale, and New York University. He was one of the first people interviewed on the NPR show Fresh Air when it began airing nationally in 1987. In 1999, he received the American Academy of Arts and Letters Award in Literature.Price's novels explore late 20th century urban America in a gritty, realistic manner that has brought him considerable literary acclaim. Several of his novels are set in a fictional northern New Jersey city called Dempsy. In his review of Lush Life (2008), Walter Kirn compared Price to Raymond Chandler and Saul Bellow.Price's first novel was The Wanderers (1974), a coming-of-age story set in the Bronx in 1962, written when Price was 24 years old. It was adapted into a movie in 1979, with a screenplay by Rose and Philip Kaufman and directed by the latter.Clockers (1992) was nominated for the National Book Critics Circle Award. It has been praised for its humor, suspense, dialogue, and characterizations. In 1995, it was made into a movie directed by Spike Lee; Price and Lee shared writing credits for the screenplay.Price has written numerous screenplays, of which the best known are The Color of Money (1986), for which he was nominated for an Oscar, Life Lessons (the Martin Scorsese segment of New York Stories) (1989), Sea of Love (1989), Mad Dog and Glory (1992), Ransom (1996), and Shaft (2000). He also wrote for the HBO series The Wire. Price was nominated for the Writers Guild of America Award award for Best Dramatic Series at the February 2009 ceremony for his work on the fifth season of The Wire. He is often cast in cameo roles in the films he writes.Price also wrote and conceptualized the 15 minute film surrounding Michael Jackson's ""Bad"" video.Additionally, he has published articles in the The New York Times, Esquire Magazine, The New Yorker, Village Voice, Rolling Stone, and others.","when Price was 24 years old. It was adapted into a movie in 1979, with a screenplay by Rose and Philip Kaufman and directed by the latter.Clockers (1992); numerous screenplays, of which the best known are The Color of Money (1986)"
Peter Ackroyd,https://images.gr-assets.com/authors/1232835556p5/16881.jpg,"Peter Ackroyd CBE is an English novelist and biographer with a particular interest in the history and culture of London.Peter Ackroyd's mother worked in the personnel department of an engineering firm, his father having left the family home when Ackroyd was a baby. He was reading newspapers by the age of 5 and, at 9, wrote a play about Guy Fawkes. Reputedly, he first realized he was gay at the age of 7.Ackroyd was educated at St. Benedict's, Ealing and at Clare College, Cambridge, from which he graduated with a double first in English. In 1972, he was a Mellon Fellow at Yale University in the United States. The result of this fellowship was Ackroyd's Notes for a New Culture, written when he was only 22 and eventually published in 1976. The title, a playful echo of T. S. Eliot's Notes Towards the Definition of Culture (1948), was an early indication of Ackroyd's penchant for creatively exploring and reexamining the works of other London-based writers.Ackroyd's literary career began with poetry, including such works as London Lickpenny (1973) and The Diversions of Purley (1987). He later moved into fiction and has become an acclaimed author, winning the 1998 James Tait Black Memorial Prize for the biography Thomas More and being shortlisted for the Booker Prize in 1987.Ackroyd worked at The Spectator magazine between 1973 and 1977 and became joint managing editor in 1978. In 1982 he published The Great Fire of London, his first novel. This novel deals with one of Ackroyd's great heroes, Charles Dickens, and is a reworking of Little Dorrit. The novel set the stage for the long sequence of novels Ackroyd has produced since, all of which deal in some way with the complex interaction of time and space, and what Ackroyd calls ""the spirit of place"". It is also the first in a sequence of novels of London, through which he traces the changing, but curiously consistent nature of the city. Often this theme is explored through the city's artists, and especially its writers.Ackroyd has always shown a great interest in the city of London, and one of his best known works, London: The Biography, is an extensive and thorough discussion of London through the ages. His fascination with London literary and artistic figures is also displayed in the sequence of biographies he has produced of Ezra Pound (1980), T. S. Eliot (1984), Charles Dickens (1990), William Blake (1995), Thomas More (1998), Chaucer (2004), William Shakespeare (2005), and J. M. W. Turner. The city itself stands astride all these works, as it does in the fiction.From 2003 to 2005, Ackroyd wrote a six-book non-fiction series (Voyages Through Time), intended for readers as young as eight. This was his first work for children. The critically acclaimed series is an extensive narrative of key periods in world history.Early in his career, Ackroyd was nominated a Fellow of the Royal Society of Literature in 1984 and, as well as producing fiction, biography and other literary works, is also a regular radio and television broadcaster and book critic.In the New Year's honours list of 2003, Ackroyd was awarded the CBE.","when he was only 22 and eventually published in 1976. The title, a playful echo of T. S. Eliot's Notes Towards the Definition of Culture (1948)"
Thierry De Duve,https://images.gr-assets.com/authors/1497736176p5/17191.jpg,"Thierry de Duve, son of Nobel Prize-winning cytologist and biochemist Christian de Duve, is a Belgian scholar of the history and theory of modern and contemporary art. He is a scholar of Immanuel Kant and has written several books on the artist Marcel Duchamp, including: Pictorial Nominalism; On Marcel Duchamp's Passage from Painting to the Readymade (1991), The Definitively Unfinished Marcel Duchamp (1993), and Kant After Duchamp (1998). Committed to a reinterpretation of modernism, much of his earlier work revolves around the challenges presented in Marcel Duchamp's readymades and their and implications for aesthetics. Thierry de Duve outlines an aesthetic theory of art to meet the requirements of our time, which mainly consists of three components: 1.) updating Kant's aesthetics by replacing the phrase ""this is beautiful"" with ""this is art"" as the paradigm for aesthetic judgment; 2.) reassessing Modernism in painting from Manet onwards with theory informed by Clement Greenberg, while at the same time acknowledging its failure; 3.) reflecting on the historical evolution of Fine Arts from the primacy of painting as a specific privileged avenue for art production to the general ""art at large"" espoused by later theorists and practitioners of contemporary art.For Thierry de Duve there is no difference between modern, post-modern and contemporary art: the same logic rules from the beginning. Art has no essence; it is simply what we call by that name. Borrowing from Lacanian identity theory, Duve argues that the human brain develops prematurely, and the drive to create and consume art arises from neotenous desires that condition all humans. Thus for him, the enterprise of art remains utterly tragic: accounting for and responding to messianic desires of how life should be while at the same time informed by a postmodern weariness of modernism's naivety and inevitable failure.With his colleague Jean Guiraud he co-founded the free institute of Fine Art, École de Recherche Graphique (ERG), in Brussels, 1972. He curated the Belgian Pavilion at the Venice Biennale in 2003. He has been a visiting professor at: the University of Lille III (France), the Sorbonne (France), MIT, and Johns Hopkins University, and was the Elliot and Roslyn Jaffe Distinguished Visiting Professor in Contemporary Art in Penn's History of Art Department. He was a fellow at the Center for the Advanced Study of the Visual Arts (CASVA) at the National Gallery of Art in Washington, D.C. In 2000, he curated the exhibition ""Here - 100 years of contemporary art,"" at the Palais des Beaux-Arts in Brussels.","several books on the artist Marcel Duchamp, including: Pictorial Nominalism; On Marcel Duchamp's Passage from Painting to the Readymade (1991)"
Shashi Tharoor,https://images.gr-assets.com/authors/1259658998p5/17287.jpg,"Shashi Tharoor is a member of the Indian Parliament from the Thiruvananthapuram constituency in Kerala. He previously served as the United Nations Under-Secretary General for Communications and Public Information and as the Indian Minister of State for External Affairs.He is also a prolific author, columnist, journalist and a human rights advocate.He has served on the Board of Overseers of the Fletcher School of Law and Diplomacy at Tufts University. He is also an adviser to the International Committee of the Red Cross in Geneva and a Fellow of the New York Institute of the Humanities at New York University. He has also served as a trustee of the Aspen Institute, and the Advisory of the Indo-American Arts Council, the American India Foundation, the World Policy Journal, the Virtue Foundation and the human rights organization Breakthrough He is also a Patron of the Dubai Modern High School and the managing trustee of the Chandran Tharoor Foundation which he founded with his family and friends in the name of his late father, Chandran Tharoor.Tharoor has written numerous books in English. Most of his literary creations are centred on Indian themes and they are markedly “Indo-nostalgic.” Perhaps his most famous work is The Great Indian Novel, published in 1989, in which he uses the narrative and theme of the famous Indian epic Mahabharata to weave a satirical story of Indian life in a non-linear mode with the characters drawn from the Indian Independence Movement. His novel Show Business (1992) was made into the film 'Bollywood'(1994). The late Ismail Merchant had announced his wish to make a film of Tharoor’s novel Riot shortly before Merchant’s death in 2005.Tharoor has been a highly-regarded columnist in each of India's three best-known English-language newspapers, most recently for The Hindu newspaper (2001–2008) and in a weekly column, “Shashi on Sunday,” in the Times of India (January 2007 – December 2008). Following his resignation as Minister of State for External Affairs, he began a fortnightly column on foreign policy issues in the ""Deccan Chronicle"". Previously he was a columnist for the Gentleman magazine and the Indian Express newspaper, as well as a frequent contributor to Newsweek International and the International Herald Tribune. His Op-Eds and book reviews have appeared in the Washington Post, the New York Times and the Los Angeles Times, amongst other papers.Tharoor began writing at the age of 6 and his first published story appeared in the “Bharat Jyoti”, the Sunday edition of the ""Free press Journal"", in Mumbai at age 10. His World War II adventure novel Operation Bellows, inspired by the Biggles books, was serialized in the Junior Statesman starting a week before his 11th birthday. Each of his books has been a best-seller in India. The Great Indian Novel is currently in its 28th edition in India and his newest volume. The Elephant, the Tiger and the Cellphone has undergone seven hardback re-printings there.Tharoor has lectured widely on India, and is often quoted for his observations, including, ""India is not, as people keep calling it, an underdeveloped country, but rather, in the context of its history and cultural heritage, a highly developed one in an advanced state of decay."". He has also coined a memorable comparison of India's ""thali"" to the American ""melting pot"": ""If America is a melting pot, then to me India is a thali--a selection of sumptuous dishes in different bowls. Each tastes different, and does not necessarily mix with the next, but they belong together on the same plate, and they complement each other in making the meal a satisfying repast.""","numerous books in English. Most of his literary creations are centred on Indian themes and they are markedly “Indo-nostalgic.” Perhaps his most famous work is The Great Indian Novel, published in 1989, in which he uses the narrative and theme of the famous Indian epic Mahabharata to weave a satirical story of Indian life in a non-linear mode with the characters drawn from the Indian Independence Movement. His novel Show Business (1992)"
Maxine Hong Kingston,https://images.gr-assets.com/authors/1202527632p5/17290.jpg,"She was born as Maxine Ting Ting Hong to a laundry house owner in Stockton, California. She was the third of eight children, and the first among them born in the United States. Her mother trained as a midwife at the To Keung School of Midwifery in Canton. Her father had been brought up a scholar and taught in his village of Sun Woi, near Canton. Tom left China for America in 1924 and took a job in a laundry.Her works often reflect on her cultural heritage and blend fiction with non-fiction. Among her works are The Woman Warrior (1976), awarded the National Book Critics Circle Award for Nonfiction, and China Men (1980), which was awarded the 1981 National Book Award. She has written one novel, Tripmaster Monkey, a story depicting a character based on the mythical Chinese character Sun Wu Kong. Her most recent books are To Be The Poet and The Fifth Book of Peace.She was awarded the 1997 National Humanities Medal by President of the United States Bill Clinton. Kingston was a member of the committee to choose the design for the California commemorative quarter. She was arrested in March 2003 in Washington, D.C., for crossing a police line during a protest against the war in Iraq. In April, 2007, Hong Kingston was awarded the Northern California Book Award Special Award in Publishing for her most recent novel Veterans of War, Veterans of Peace (2006), edited by Maxine Hong Kingston.She married actor Earl Kingston in 1962 (IMDb bio); they have had one child, Joseph Lawrence Chung Mei, born in 1964. They now live in Oakland.Kingston was honored as a 175th Speaker Series writer at Emma Willard School in September 2005.","one novel, Tripmaster Monkey, a story depicting a character based on the mythical Chinese character Sun Wu Kong. Her most recent books are To Be The Poet and The Fifth Book of Peace.She was awarded the 1997 National Humanities Medal by President of the United States Bill Clinton. Kingston was a member of the committee to choose the design for the California commemorative quarter. She was arrested in March 2003 in Washington, D.C., for crossing a police line during a protest against the war in Iraq. In April, 2007, Hong Kingston was awarded the Northern California Book Award Special Award in Publishing for her most recent novel Veterans of War, Veterans of Peace (2006)"
Catherine Gaskin,https://images.gr-assets.com/authors/1279652003p5/18088.jpg,"Catherine Gaskin (2 April 1929 – 6 September 2009) historical fiction and romantic suspense.She was born in Dundalk Bay, Louth, Ireland in 1929. When she was only three months old, her parents moved to Australia, settling in Coogee, a suburb of Sydney, where she grew up. Her first novel This Other Eden, was written when she was 15 and published two years later. After her second novel, With Every Year, was published, she moved to London. Three best-sellers followed: Dust in Sunlight (1950), All Else is Folly (1951), and Daughter of the House (1952). She completed her best known work, Sara Dane, on her 25th birthday in 1954, and it was published in 1955. It sold more than 2 million copies, was translated into a number of other languages, and was made into a television series in Australia in 1982. Other novels included A Falcon for the Queen (1972) and The Summer of the Spanish Woman (1977). Catherine Gaskin moved to Manhattan for ten years, after marrying an American. She then moved to the Virgin Islands, then in 1967 to Ireland, where she became an Irish citizen. She also lived on the Isle of Man. Her last novel was The Charmed Circle (1988). She then returned to Sydney, where she died in September 2009, aged 80, of ovarian cancer.","when she was 15 and published two years later. After her second novel, With Every Year, was published, she moved to London. Three best-sellers followed: Dust in Sunlight (1950)"
Jim Dawson,https://images.gr-assets.com/authors/1400036974p5/18169.jpg,"Dawson has also written extensively about early rock and roll and rhythm and blues, including 'What Was the First Rock 'n' Roll Record?' which Mojo magazine called 'one of the best musical reads of [1993].' His 1980 cover story on Ritchie Valens in the Calendar section of the Los Angeles Times led directly to the reissue of the forgotten rock 'n' roller's recordings and the making of the biopic La Bamba, which used some of Dawson's research.Jim Dawson is a Hollywood, California-based writer who has specialized in American pop culture (especially early rock 'n' roll) and the history of flatulence (three books so far, including his 1999 top-seller, ""Who Cut the Cheese? A Cultural History of the Fart""). Mojo magazine called his What Was the First Rock 'n' Roll Record (1992), co-written with Steve Propes, ""one of the most impressive musical reads of the year""; it remains a valuable source for music critics and rock historians, and an updated second edition is currently available on Kindle. Dawson has also written a series of articles on early rhythm and blues and rock 'n' roll pioneers for the Los Angeles Times, including a front-page story in the Calendar entertainment section on the forgotten tragic figure Ritchie Valens. The piece led directly to Rhino Records reissuing Valens' entire catalog (with Dawson's liner notes) and eventually to the 1987 biopic ""LaBamba,"" which used some of Dawson's research. Since 1983 Dawson has also written liner notes for roughly 150 albums and CDs, including Rhino's prestigious ""Central Avenue Sounds"" box set celebrating the history of jazz and early R&amp;B in Los Angeles. His most recent book (2012) is ""Los Angeles's Bunker Hill: Pulp Fiction's Mean Streets and Film Noir's Ground Zero.""","extensively about early rock and roll and rhythm and blues, including 'What Was the First Rock 'n' Roll Record?' which Mojo magazine called 'one of the best musical reads of [1993].' His 1980 cover story on Ritchie Valens in the Calendar section of the Los Angeles Times led directly to the reissue of the forgotten rock 'n' roller's recordings and the making of the biopic La Bamba, which used some of Dawson's research.Jim Dawson is a Hollywood, California-based writer who has specialized in American pop culture (especially early rock 'n' roll) and the history of flatulence (three books so far, including his 1999 top-seller, ""Who Cut the Cheese? A Cultural History of the Fart""). Mojo magazine called his What Was the First Rock 'n' Roll Record (1992); with Steve Propes, ""one of the most impressive musical reads of the year""; it remains a valuable source for music critics and rock historians, and an updated second edition is currently available on Kindle. Dawson has also written a series of articles on early rhythm and blues and rock 'n' roll pioneers for the Los Angeles Times, including a front-page story in the Calendar entertainment section on the forgotten tragic figure Ritchie Valens. The piece led directly to Rhino Records reissuing Valens' entire catalog (with Dawson's liner notes) and eventually to the 1987 biopic ""LaBamba,"" which used some of Dawson's research. Since 1983 Dawson has also written liner notes for roughly 150 albums and CDs, including Rhino's prestigious ""Central Avenue Sounds"" box set celebrating the history of jazz and early R&amp;B in Los Angeles. His most recent book (2012)"
Michio Kaku,https://images.gr-assets.com/authors/1379758804p5/18800.jpg,"(Arabic: ميشيو كاكوRussian:  Митио КакуChinese: 加來道雄Japanese: ミチオ・カク)Dr. Michio Kaku is an American theoretical physicist at the City College of New York , best-selling author, a futurist, and a communicator and popularizer of science. He has written several books about physics and related topics of science.He has written two New York Times Best Sellers, Physics of the Impossible (2008) and Physics of the Future (2011).Dr. Michio is the co-founder of string field theory (a branch of string theory), and continues Einstein’s search to unite the four fundamental forces of nature into one unified theory.Kaku was a Visitor and Member (1973 and 1990) at the Institute for Advanced Study in Princeton, and New York University. He currently holds the Henry Semat Chair and Professorship in theoretical physics at the City College of New York.","several books about physics and related topics of science.He has written two New York Times Best Sellers, Physics of the Impossible (2008)"
Roger Angell,https://images.gr-assets.com/authors/1389625724p5/18856.jpg,"Roger Angell (b. 1920) is a celebrated New Yorker writer and editor. First published in the magazine in 1944, he became a fiction editor and regular contributor in 1956; and remains as a senior editor and staff writer. In addition to seven classic books on baseball, which include The Summer Game (1972), Five Seasons (1977), and Season Ticket (1988), he has written works of fiction, humor, and a memoir, Let Me Finish (2006).","works of fiction, humor, and a memoir, Let Me Finish (2006)"
